kg_id,kg_name,conceptualization_label,element_uri,element_kind,namespace,local_name,normalized_local_name,preferred_label,normalized_label,label_count,has_label,comment_count,has_comment,normalized_local_name_char_count,normalized_local_name_token_count,normalized_label_char_count,normalized_label_token_count,label_local_name_exact_match,label_local_name_similarity,label_contains_punctuation,label_contains_digit,label_is_html_like,sampled_usage_triple_count,sampled_literal_object_count,sampled_resource_object_count,sampled_usage_inferred_kind,nearest_neighbor_uri,nearest_neighbor_label,nearest_neighbor_similarity
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/actor,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,actor,actor,Actor,actor,1,True,0,False,5,1,5,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/armor,Armor,0.05453682077407319
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/armor,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,armor,armor,Armor,armor,1,True,0,False,5,1,5,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/actor,Actor,0.05453682077407319
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/book,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,book,book,Book,book,1,True,0,False,4,1,4,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/guidebook,Guidebook,0.3864795352920298
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/box,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,box,box,Box,box,1,True,0,False,3,1,3,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/book,Book,0.11779006591973443
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/cancelled,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,cancelled,cancelled,Cancelled,cancelled,1,True,0,False,9,1,9,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/actor,Actor,0.0
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,character,character,Character,character,1,True,0,False,9,1,9,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/twitter,Twitter,0.09541330521123467
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/clear,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,clear,clear,Clear,clear,1,True,0,False,5,1,5,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/war,War,0.09296057100734327
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/col-end,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,col-end,col end,Col-end,col end,1,True,0,False,7,2,7,2,True,1.0,True,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/expand,Expand,0.06784140117646517
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/comic,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,comic,comic,Comic,comic,1,True,0,False,5,1,5,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/music,Music,0.06424650638438804
mcuwiki_small,MCUWiKi,small,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/conflict,class,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/,conflict,conflict,Conflict,conflict,1,True,0,False,8,1,8,1,True,1.0,False,False,False,0,0,0,,http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/reflist,Reflist,0.04768416868154782
