cq_id,model_id,kg_id
cq_11,Claude,marveldb_big
cq_11,Claude,mcuwiki_small
cq_10,Claude,marveldb_big
cq_10,Claude,mcuwiki_small
cq_07,GPT5,marveldb_big
cq_07,GPT5,mcuwiki_small
cq_03,GPT5,marveldb_big
cq_03,GPT5,mcuwiki_small
cq_06,Gemini,marveldb_big
cq_06,Gemini,mcuwiki_small
cq_02,Gemini,marveldb_big
cq_02,Gemini,mcuwiki_small
cq_04,gpt-oss120b,marveldb_big
cq_04,gpt-oss120b,mcuwiki_small
cq_05,gpt-oss120b,marveldb_big
cq_05,gpt-oss120b,mcuwiki_small
cq_16,Claude,marveldb_big
cq_16,Claude,mcuwiki_small
cq_13,Claude,marveldb_big
cq_13,Claude,mcuwiki_small
cq_22,GPT5,marveldb_big
cq_22,GPT5,mcuwiki_small
cq_20,GPT5,marveldb_big
cq_20,GPT5,mcuwiki_small
cq_21,Gemini,marveldb_big
cq_21,Gemini,mcuwiki_small
cq_15,Gemini,marveldb_big
cq_15,Gemini,mcuwiki_small
cq_23,gpt-oss120b,marveldb_big
cq_23,gpt-oss120b,mcuwiki_small
cq_19,gpt-oss120b,marveldb_big
cq_19,gpt-oss120b,mcuwiki_small
cq_25,Claude,marveldb_big
cq_25,Claude,mcuwiki_small
cq_24,Claude,marveldb_big
cq_24,Claude,mcuwiki_small
cq_27,GPT5,marveldb_big
cq_27,GPT5,mcuwiki_small
cq_31,GPT5,marveldb_big
cq_31,GPT5,mcuwiki_small
cq_28,Gemini,marveldb_big
cq_28,Gemini,mcuwiki_small
cq_30,Gemini,marveldb_big
cq_30,Gemini,mcuwiki_small
cq_33,gpt-oss120b,marveldb_big
cq_33,gpt-oss120b,mcuwiki_small
cq_26,gpt-oss120b,marveldb_big
cq_26,gpt-oss120b,mcuwiki_small
