cq_id,cq_normalized,sparql_query,model_id,kg_id,query_cleaning_status,query_normalization_status,execution_status,syntax_ok,satisfiable,deterministic,qualitative_notes
cq_11,What are all the available movies and their directors?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?movie ?movieLabel ?director ?directorLabel
WHERE {
  # Match movies (items that have the director property)
  ?movie ns1:director ?director .
  
  # Get the label for the movie
  OPTIONAL { ?movie rdfs:label ?movieLabel }
  
  # Get the label for the director
  OPTIONAL { ?director rdfs:label ?directorLabel }
}",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE, - was unable to determine the right class type and halucinated a predicate which lead is the main problem in the query but overall it was still trying to retrieve right intent elements
cq_11,What are all the available movies and their directors?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?movie ?director
WHERE {
  ?movie rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie> .
  ?movie ns1:director ?director .
}",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ"
cq_10,What are all the locations (places) available?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

SELECT DISTINCT ?location
WHERE {
  {
    ?location a ?type .
    ?type rdfs:subClassOf* <http://www.w3.org/2002/07/owl#Thing> .
    FILTER(
      CONTAINS(LCASE(STR(?location)), ""city"") || 
      CONTAINS(LCASE(STR(?location)), ""town"") || 
      CONTAINS(LCASE(STR(?location)), ""country"") || 
      CONTAINS(LCASE(STR(?location)), ""island"") || 
      CONTAINS(LCASE(STR(?location)), ""continent"") || 
      CONTAINS(LCASE(STR(?location)), ""ocean"") || 
      CONTAINS(LCASE(STR(?location)), ""mountain"") || 
      CONTAINS(LCASE(STR(?location)), ""base"") || 
      CONTAINS(LCASE(STR(?location)), ""realm"") || 
      CONTAINS(LCASE(STR(?location)), ""dimension"")
    )
  }
  UNION
  {
    ?location ns1:placeofbirth ?birthplace .
  }
  UNION
  {
    ?location ns1:baseofoperations ?base .
  }
}",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ
 - It does have some noise which is a caveat of trying to find all locations avaialble in the KG vs just getting place of birth which is a location. Nonetheless still adequately answers the CQ"
cq_10,What are all the locations (places) available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?location
WHERE {
  ?location rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/location> .
}",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ
 - predicate resolution was not done but it is the most nit picky wrong thing to find in the query.
 - KG also has 2 predicates associated with locations (i.e., ns1:location, ns1:locations). It seemed to miss one which can affect total coverage but nonetheless still correct and answers the CQ with no noise and full intent preserved and retrieved"
cq_07,Who are all the director(s) for each of the movies?,,GPT5,marveldb_big,non_sparql_output,unchanged,NON_SPARQL_OUTPUT,FALSE,FALSE,FALSE," - Model might have decided to not answer as it could have reasoned that this information doesn�t exist in the query when it does. 
 - Model reasoning behavior issue"
cq_07,Who are all the director(s) for each of the movies?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?movie ?movieLabel ?director ?directorLabel
WHERE {
  ?movie a <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie> .
  {
    ?director ns1:directed ?movie .
  } UNION {
    ?movie ns1:director ?director .
  }
  OPTIONAL { ?movie rdfs:label ?movieLabel . }
  OPTIONAL { ?director rdfs:label ?directorLabel . }
}
ORDER BY LCASE(STR(?movieLabel)) LCASE(STR(?directorLabel))",GPT5,mcuwiki_small,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ
 - predicate resolution was not done but it is the most nit picky wrong thing to find in the query.
 - KG also has 2 predicates associated with directors and movie (i.e., ns1:movie,different movie class, director, directed)
 - noise free full coverage across the CQ"
cq_03,What are the real names and/or primary aliases for each of the characters?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?character ?characterLabel ?realName ?alias
WHERE {
  ?character a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/character> .
  OPTIONAL { ?character rdfs:label ?characterLabel . }
  OPTIONAL { ?character ns1:realname ?realName . }
  OPTIONAL { ?character skos:altLabel ?alias . }
}
ORDER BY LCASE(STR(?characterLabel)) ?character",GPT5,marveldb_big,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ
 - prefix predicate resolution was not done but it is the most nit picky wrong thing to find in the query.
 - KG also has 2 predicates associated with names
 - Full intent coverage with minimal noise"
cq_03,What are the real names and/or primary aliases for each of the characters?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>

SELECT DISTINCT ?character ?characterLabel ?realName ?alias
WHERE {
  {
    ?character rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character> .
  } UNION {
    ?character (ns1:realName|ns1:alias) ?_x .
  }
  OPTIONAL { ?character rdfs:label ?characterLabel . }
  OPTIONAL {
    ?character ns1:realName ?rn .
    OPTIONAL { ?rn rdfs:label ?rnLabel . }
    BIND(COALESCE(?rnLabel, STR(?rn)) AS ?realName)
  }
  OPTIONAL {
    ?character ns1:alias ?al .
    OPTIONAL { ?al rdfs:label ?alLabel . }
    BIND(COALESCE(?alLabel, STR(?al)) AS ?alias)
  }
}
ORDER BY LCASE(STR(?characterLabel)) ?character",GPT5,mcuwiki_small,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ
 - prefix predicate resolution was not done but it is the most nit picky wrong thing to find in the query.
 - KG also has 2 predicates associated with names
 - Full intent coverage with minimal noise"
cq_06,"What are all the release dates (or years), if available, for each of the movies?","PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?movieLabel ?releaseDate ?year
WHERE {
  {
    ?movie a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/youtube> .
  }
  UNION
  {
    ?movie a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/imdb_title> .
  }
  
  ?movie rdfs:label ?movieLabel .
  OPTIONAL { ?movie ns1:releasedate ?releaseDate . }
  OPTIONAL { ?movie ns1:year ?year . }
}",Gemini,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Full alignment
 - right paths, intent and fully answers the CQ
 - prefix predicate resolution was not done but it is the most nit picky wrong thing to find in the query.
 - KG also has 2 predicates associated with movies but only covered year, releaseDte and not years predicates
 - Full intent coverage with min noise"
cq_06,"What are all the release dates (or years), if available, for each of the movies?","PREFIX ns3: <http://dbkwik.webdatacommons.org/ontology/>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?movieLabel ?releaseDate
WHERE {
  ?movie a ns3:Movie .
  ?movie rdfs:label ?movieLabel .
  OPTIONAL {
    ?movie (ns1:release | ns1:released) ?releaseDate .
  }
}",Gemini,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE, - the query was mostly correct; the incorrect path comes from prefix mismatch but still adequatly satisfies the CQ intent for full coverage
