cq_id,cq_normalized,sparql_query,model_id,kg_id,query_cleaning_status,query_normalization_status,execution_status,syntax_ok,satisfiable,deterministic,qualitative_notes
cq_11,What are all the available movies and their directors?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?movie ?movieLabel ?director ?directorLabel
WHERE {
  # Match movies (items that have the director property)
  ?movie ns1:director ?director .
  
  # Get the label for the movie
  OPTIONAL { ?movie rdfs:label ?movieLabel }
  
  # Get the label for the director
  OPTIONAL { ?director rdfs:label ?directorLabel }
}",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE," - Doesn't type the movie, which might be getting other things that have directors
- Also doesn't type the director but presumably fine due to the predicate"
cq_11,What are all the available movies and their directors?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT ?movie ?director
WHERE {
  ?movie rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie> .
  ?movie ns1:director ?director .
}",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for movie type is unusual but not incorrect
- Doesn't type the director but prsumably fine due to the predicate"
cq_10,What are all the locations (places) available?,"PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>

SELECT DISTINCT ?location
WHERE {
  {
    ?location a ?type .
    ?type rdfs:subClassOf* <http://www.w3.org/2002/07/owl#Thing> .
    FILTER(
      CONTAINS(LCASE(STR(?location)), ""city"") || 
      CONTAINS(LCASE(STR(?location)), ""town"") || 
      CONTAINS(LCASE(STR(?location)), ""country"") || 
      CONTAINS(LCASE(STR(?location)), ""island"") || 
      CONTAINS(LCASE(STR(?location)), ""continent"") || 
      CONTAINS(LCASE(STR(?location)), ""ocean"") || 
      CONTAINS(LCASE(STR(?location)), ""mountain"") || 
      CONTAINS(LCASE(STR(?location)), ""base"") || 
      CONTAINS(LCASE(STR(?location)), ""realm"") || 
      CONTAINS(LCASE(STR(?location)), ""dimension"")
    )
  }
  UNION
  {
    ?location ns1:placeofbirth ?birthplace .
  }
  UNION
  {
    ?location ns1:baseofoperations ?base .
  }
}",Claude,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Query doesn't fully make sense
- Starts with getting a location, which is actually anything but then filters it to specific strings representing locations
- Also does a union with any of these locations that has a birthplace?"
cq_10,What are all the locations (places) available?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>

SELECT DISTINCT ?location
WHERE {
  ?location rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/location> .
}",Claude,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE, - Using whole URI for location type is unusual but not incorrect
cq_07,Who are all the director(s) for each of the movies?,,GPT5,marveldb_big,non_sparql_output,unchanged,NON_SPARQL_OUTPUT,FALSE,FALSE,FALSE, - No Query
cq_07,Who are all the director(s) for each of the movies?,"PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?movie ?movieLabel ?director ?directorLabel
WHERE {
  ?movie a <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/movie> .
  {
    ?director ns1:directed ?movie .
  } UNION {
    ?movie ns1:director ?director .
  }
  OPTIONAL { ?movie rdfs:label ?movieLabel . }
  OPTIONAL { ?director rdfs:label ?directorLabel . }
}
ORDER BY LCASE(STR(?movieLabel)) LCASE(STR(?directorLabel))",GPT5,mcuwiki_small,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for movie type is unusual but not incorrect
- Doesn't type the director but prsumably fine due to the predicates"
cq_03,What are the real names and/or primary aliases for each of the characters?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>

SELECT DISTINCT ?character ?characterLabel ?realName ?alias
WHERE {
  ?character a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/character> .
  OPTIONAL { ?character rdfs:label ?characterLabel . }
  OPTIONAL { ?character ns1:realname ?realName . }
  OPTIONAL { ?character skos:altLabel ?alias . }
}
ORDER BY LCASE(STR(?characterLabel)) ?character",GPT5,marveldb_big,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for character type is unusual but not incorrect
- Unclear if alias is actually the primary alias based on the predicate skos:altLabel"
cq_03,What are the real names and/or primary aliases for each of the characters?,"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>

SELECT DISTINCT ?character ?characterLabel ?realName ?alias
WHERE {
  {
    ?character rdf:type <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/class/character> .
  } UNION {
    ?character (ns1:realName|ns1:alias) ?_x .
  }
  OPTIONAL { ?character rdfs:label ?characterLabel . }
  OPTIONAL {
    ?character ns1:realName ?rn .
    OPTIONAL { ?rn rdfs:label ?rnLabel . }
    BIND(COALESCE(?rnLabel, STR(?rn)) AS ?realName)
  }
  OPTIONAL {
    ?character ns1:alias ?al .
    OPTIONAL { ?al rdfs:label ?alLabel . }
    BIND(COALESCE(?alLabel, STR(?al)) AS ?alias)
  }
}
ORDER BY LCASE(STR(?characterLabel)) ?character",GPT5,mcuwiki_small,exact_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for character type is unusual but not incorrect
- More flexible approach that gets anything that has a realName or alias even if it's not explicitly a character; this could be helpful but also may be doing something not technically requested by the CQ
- Interesting approach where an attempt is made to get the rdfs:label of the realName or alias if it is available"
cq_06,"What are all the release dates (or years), if available, for each of the movies?","PREFIX ns1: <http://dbkwik.webdatacommons.org/marvel.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT DISTINCT ?movieLabel ?releaseDate ?year
WHERE {
  {
    ?movie a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/youtube> .
  }
  UNION
  {
    ?movie a <http://dbkwik.webdatacommons.org/marvel.wikia.com/class/imdb_title> .
  }
  
  ?movie rdfs:label ?movieLabel .
  OPTIONAL { ?movie ns1:releasedate ?releaseDate . }
  OPTIONAL { ?movie ns1:year ?year . }
}",Gemini,marveldb_big,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,TRUE,TRUE," - Using whole URI for movie type is unusual but not incorrect
- Movie types specified don't semantically align with a movie (youtube and imdb_title are likely to contain extraneous entries, as well as miss movies)"
cq_06,"What are all the release dates (or years), if available, for each of the movies?","PREFIX ns3: <http://dbkwik.webdatacommons.org/ontology/>
PREFIX ns1: <http://dbkwik.webdatacommons.org/marvelcinematicuniverse.wikia.com/property/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?movieLabel ?releaseDate
WHERE {
  ?movie a ns3:Movie .
  ?movie rdfs:label ?movieLabel .
  OPTIONAL {
    ?movie (ns1:release | ns1:released) ?releaseDate .
  }
}",Gemini,mcuwiki_small,fenced_query,schema_prefixes_added,EXECUTABLE,TRUE,FALSE,TRUE, - Doesn't make a distinction between release date and year (but this may not be necessary anyway depending on the ontology)
